SOURCE,FREQUENCY,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,TOT_LOANS,TOT_UPB,PCT_LOANS,PCT_UPB,TOT_LOANAMT,AVE_PAYMENT,AVE_MTMLTV,PCT_MTMLTV_LE60,PCT_MTMLTV_61_70,PCT_MTMLTV_71_80,PCT_MTMLTV_81_90,PCT_MTMLTV_91_100,PCT_MTMLTV_GT100,AVE_INTRATE,PCT_INTRATE_LT_3,PCT_INTRATE_3_4,PCT_INTRATE_4_5,PCT_INTRATE_5_6,PCT_INTRATE_GE_6,PCT_TERM_ARM_1_4,PCT_TERM_ARM_5PL,PCT_TERM_FRM_15,PCT_TERM_FRM_30,AVE_VANTAGESCR,PCT_VS_VERYPOOR,PCT_VS_POOR,PCT_VS_FAIR,PCT_VS_GOOD,PCT_VS_EXCELLENT,AVE_AGE_LOAN,PCT_TENURE_1_4,PCT_TENURE_5_7,PCT_TENURE_8_10,PCT_TENURE_11PL,PCT_GOVERNMENT,PCT_ENTERPRISE,PCT_OTHER
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q3,2015,3,9,0,50860,8515.4,100,100,9690.5,1290,61.8,43.5,14.9,15.9,12.7,8.9,4,4.9,3.3,26,32.2,16.8,21.7,2,6.6,21.1,70.3,724,1.5,8.3,12.5,44.7,33,65,51.9,17.7,12.4,18,21.2,55,23.8
NMDB,Quarterly,National,USA,United States,All Mortgages,2015Q4,2015,4,12,0,50143,8441.2,100,100,9620.1,1308,61.2,44.3,15.1,15.8,12.6,8.6,3.6,4.9,3.3,27,33.1,16.1,20.5,2,6.3,21,70.7,724,1.5,8.2,12.6,45.1,32.6,65,51.9,19,11,18.2,21.6,55.4,23.1
NMDB,Quarterly,National,USA,United States,All Mortgages,2016Q1,2016,1,3,0,49575,8378.2,100,100,9566.4,1315,60.6,45.1,15.4,15.7,12.5,8.2,3.1,4.8,3.4,28,33.5,15.4,19.6,2,6,20.9,71.1,726,1.4,7.8,12.2,44.7,33.9,65,51.7,19.8,10.4,18.1,21.9,55.3,22.7
NMDB,Quarterly,National,USA,United States,All Mortgages,2016Q2,2016,2,6,0,49531,8434.4,100,100,9634.9,1309,60.2,45.8,15.5,15.6,12.4,7.9,2.8,4.8,3.5,29.6,33.4,14.8,18.7,1.9,5.8,20.8,71.5,727,1.3,7.7,12,45.2,33.8,65,51.2,20.4,10.3,18.1,22.1,55.3,22.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2016Q3,2016,3,9,0,49517,8507.4,100,100,9718,1308,59.7,46.5,15.5,15.6,12.2,7.7,2.5,4.7,3.8,31.6,32.5,14.2,17.9,1.8,5.7,20.7,71.8,727,1.4,7.6,12.1,45.1,33.8,65,50.1,21.6,10.2,18.1,22.3,55.4,22.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2016Q4,2016,4,12,0,49418,8546.1,100,100,9763.6,1318,59.3,47.3,15.6,15.7,11.9,7.4,2.2,4.7,4.1,33.3,31.9,13.5,17.2,1.8,5.5,20.6,72.1,726,1.4,7.7,12.2,45.6,33.1,65,48.7,23.3,9.9,18.1,22.5,55.3,22.2
NMDB,Quarterly,National,USA,United States,All Mortgages,2017Q1,2017,1,3,0,49293,8572.5,100,100,9805.7,1345,58.8,48.2,15.6,15.6,11.7,7,1.9,4.6,4.1,33.6,32.8,13.1,16.5,1.8,5.4,20.4,72.5,728,1.4,7.5,11.7,44.7,34.7,65,47,25.3,9.6,18.1,22.7,55.3,22
NMDB,Quarterly,National,USA,United States,All Mortgages,2017Q2,2017,2,6,0,49357,8662.7,100,100,9915.6,1345,58.4,48.8,15.6,15.6,11.5,6.8,1.7,4.6,4,33.6,33.9,12.7,15.9,1.8,5.2,20.1,72.9,729,1.3,7.3,11.6,45.2,34.7,65,45.6,27.2,9.2,18,22.9,55.2,21.9
NMDB,Quarterly,National,USA,United States,All Mortgages,2017Q3,2017,3,9,0,49349,8739.4,100,100,10009.7,1357,58,49.5,15.6,15.6,11.2,6.6,1.5,4.6,4,33.8,34.7,12.2,15.2,1.8,5,19.8,73.4,729,1.3,7.3,11.6,45.1,34.8,65,44.9,28,9.2,17.8,23.1,55.2,21.8
NMDB,Quarterly,National,USA,United States,All Mortgages,2017Q4,2017,4,12,0,49240,8791.6,100,100,10078.2,1370,57.6,50.3,15.6,15.6,10.9,6.3,1.3,4.6,4,34.2,35.5,11.8,14.6,1.8,4.8,19.4,74,728,1.2,7.3,11.7,45.7,34,65,45.6,27.1,10,17.4,23.2,55.2,21.6
NMDB,Quarterly,National,USA,United States,All Mortgages,2018Q1,2018,1,3,0,49119,8825.1,100,100,10132.7,1389,57.1,51.2,15.7,15.5,10.6,5.9,1.1,4.5,3.9,34,36.4,11.5,14.1,1.8,4.7,19.1,74.4,731,1.2,7,11.3,44.9,35.6,66,46.3,26.4,10.4,17,23.3,55.3,21.4
NMDB,Quarterly,National,USA,United States,All Mortgages,2018Q2,2018,2,6,0,49152,8919.7,100,100,10246.2,1393,56.8,51.9,15.6,15.4,10.3,5.7,1,4.5,3.8,33.3,37.5,11.8,13.6,1.8,4.5,18.6,75.1,731,1.1,6.9,11.2,45.4,35.5,66,47,26.1,10.2,16.6,23.4,55.2,21.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2018Q3,2018,3,9,0,49139,8996.2,100,100,10343.9,1409,56.5,52.6,15.6,15.2,10.1,5.6,0.9,4.5,3.7,32.6,38.3,12.2,13.1,1.8,4.4,18.1,75.7,731,1.2,6.9,11.2,45.1,35.6,66,47.4,26.1,10.5,16,23.6,55.2,21.2
NMDB,Quarterly,National,USA,United States,All Mortgages,2018Q4,2018,4,12,0,49140,9046.9,100,100,10424.8,1430,56.1,53.4,15.7,15,9.7,5.4,0.8,4.6,3.6,31.9,38.5,13.2,12.8,1.8,4.2,17.7,76.2,730,1.2,7.1,11.3,45.4,35,66,47.6,25.5,11.4,15.5,23.7,55.2,21.1
NMDB,Quarterly,National,USA,United States,All Mortgages,2019Q1,2019,1,3,0,49146,9085.2,100,100,10502.6,1447,55.6,54.3,15.7,14.7,9.5,5.2,0.7,4.6,3.5,31.4,39.2,13.4,12.4,1.8,4.1,17.4,76.6,733,1.2,6.8,10.9,44.4,36.7,67,47.4,25,12.2,15.4,23.8,55.1,21.1
NMDB,Quarterly,National,USA,United States,All Mortgages,2019Q2,2019,2,6,0,49357,9208.1,100,100,10652.6,1437,55.4,54.6,15.6,14.5,9.3,5.3,0.7,4.5,3.5,31.1,40.3,13.3,12,1.8,4,17.1,77.1,733,1.1,6.6,10.9,45.1,36.3,67,47,24.6,12.9,15.5,23.9,55.1,21
NMDB,Quarterly,National,USA,United States,All Mortgages,2019Q3,2019,3,9,0,49625,9355.5,100,100,10821.4,1433,55.4,54.7,15.5,14.5,9.1,5.6,0.7,4.5,3.5,32.1,40.1,12.8,11.5,1.7,3.9,16.9,77.5,733,1.1,6.7,10.8,44.9,36.4,67,47,23.5,13.9,15.6,23.9,55.2,20.9
NMDB,Quarterly,National,USA,United States,All Mortgages,2019Q4,2019,4,12,0,49755,9463.5,100,100,10941.3,1439,55.4,54.7,15.3,14.5,8.9,5.8,0.6,4.5,3.5,33.8,39.4,12.2,11.1,1.7,3.7,16.8,77.8,732,1.2,6.9,10.9,45.2,35.9,67,47.3,21.7,15.4,15.6,23.9,55.2,20.9
NMDB,Quarterly,National,USA,United States,All Mortgages,2020Q1,2020,1,3,0,49964,9583.7,100,100,11084.8,1456,55.4,54.7,15.2,14.6,8.8,6.1,0.6,4.4,3.7,35.8,38.2,11.6,10.7,1.7,3.6,16.7,78,734,1.1,6.7,10.6,44.3,37.3,67,47.6,20,16.9,15.6,23.9,55.3,20.8
NMDB,Quarterly,National,USA,United States,All Mortgages,2020Q2,2020,2,6,0,50041,9693.9,100,100,11173.4,1360,55.6,54.4,15,14.8,8.7,6.5,0.6,4.4,5,38.4,35.4,10.9,10.3,1.6,3.5,17,77.9,739,0.8,5.7,10.1,44.2,39.2,67,48,18.5,18,15.5,23.8,55.8,20.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2020Q3,2020,3,9,0,50057,9821.8,100,100,11268.5,1377,55.8,54,14.8,15,8.7,6.9,0.6,4.3,8.2,39.3,32.4,10.3,9.9,1.5,3.4,17.2,77.9,740,0.6,5.3,10.1,44.9,39.1,65,48.6,17.8,18.1,15.5,23.6,56.3,20.1
NMDB,Quarterly,National,USA,United States,All Mortgages,2020Q4,2020,4,12,0,50159,9996.7,100,100,11399.8,1386,55.9,53.8,14.8,15.1,8.8,6.9,0.6,4.2,12.8,38.9,29.3,9.6,9.5,1.4,3.3,17.5,77.9,739,0.6,5.3,10.2,45.7,38.2,64,49.8,17.8,16.7,15.7,23.3,57,19.7
NMDB,Quarterly,National,USA,United States,All Mortgages,2021Q1,2021,1,3,0,50279,10169.3,100,100,11539.1,1389,55.5,54.3,15,14.9,9.1,6.2,0.4,4.1,17.8,37.8,26.4,8.9,9.1,1.2,3.1,17.8,77.8,743,0.5,4.5,9.5,45.7,39.8,62,51.8,17.1,15.5,15.6,23,57.7,19.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2021Q2,2021,2,6,0,50308,10364.1,100,100,11713.4,1426,54.8,55.3,15.4,14.3,9.5,5.2,0.3,4,20.2,38.7,24.2,8.3,8.6,1.2,3,18,77.8,743,0.4,4.4,9.5,47,38.7,61,53.8,16.3,14.7,15.2,22.7,58.1,19.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2021Q3,2021,3,9,0,50400,10585.7,100,100,11929.7,1446,53.8,57,15.8,13.5,9.2,4.2,0.3,3.9,22.7,38.9,22.4,7.8,8.2,1.1,2.9,18.1,77.9,743,0.5,4.4,9.5,46.8,38.8,60,55.4,15.7,14.1,14.9,22.3,58.4,19.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2021Q4,2021,4,12,0,50683,10862.7,100,100,12212.9,1470,52.6,59.2,16,13,8.2,3.3,0.2,3.9,24.3,39.7,20.9,7.3,7.8,1.1,2.8,18,78.1,741,0.5,4.6,9.7,47.6,37.6,59,56.9,15.1,13.2,14.9,22,58.8,19.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2022Q1,2022,1,3,0,50732,11044.6,100,100,12421.7,1521,51.1,62.3,15.8,12.5,6.8,2.5,0.2,3.8,24.6,40.5,20.5,7,7.5,1.1,2.7,17.9,78.4,744,0.5,4.3,8.9,46.9,39.3,59,58.1,14.5,12.5,14.9,21.7,59,19.3
NMDB,Quarterly,National,USA,United States,All Mortgages,2022Q2,2022,2,6,0,50741,11263.3,100,100,12682.7,1562,49.7,65.4,15.2,11.6,5.4,2.1,0.2,3.9,24.2,39.9,20.8,7.8,7.3,1.2,2.6,17.3,78.9,743,0.5,4.5,9,47.1,38.9,59,59,13.6,12.1,15.3,21.7,59.1,19.2
NMDB,Quarterly,National,USA,United States,All Mortgages,2022Q3,2022,3,9,0,50858,11418.7,100,100,12892.2,1604,48.5,68.3,14.7,10.3,4.5,2.1,0.1,3.9,23.7,39,20.7,9,7.6,1.3,2.5,17,79.2,743,0.6,4.8,9.1,46.3,39.1,60,59.6,13.1,11.4,15.9,21.7,58.9,19.4
NMDB,Quarterly,National,USA,United States,All Mortgages,2022Q4,2022,4,12,0,50949,11504.5,100,100,13039.8,1640,47.4,70.7,14.1,9.1,4,2,0.1,3.9,23.4,38.3,20.5,9.3,8.6,1.4,2.4,16.7,79.5,741,0.8,5.4,9.4,46,38.5,61,60,12.6,10.6,16.8,21.8,58.8,19.4
NMDB,Quarterly,National,USA,United States,All Mortgages,2023Q1,2023,1,3,0,51014,11561,100,100,13163.6,1687,46.6,72.4,13.5,8.2,3.7,2,0.1,4,23.1,37.7,20.2,9.6,9.5,1.5,2.4,16.4,79.8,743,0.7,5.2,9,44.5,40.5,63,60.4,12.2,9.6,17.8,21.9,58.7,19.4
NMDB,Quarterly,National,USA,United States,All Mortgages,2023Q2,2023,2,6,0,51192,11678,100,100,13343.5,1698,46.3,73.3,12.9,7.7,3.7,2.3,0.2,4,22.7,36.9,19.8,9.8,10.8,1.6,2.3,16,80.1,742,0.8,5.5,9.1,44.3,40.4,64,60.5,11.8,9.1,18.6,22,58.5,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2023Q3,2023,3,9,0,51326,11773.5,100,100,13503,1726,46.1,73.8,12.4,7.4,3.7,2.6,0.2,4.1,22.3,36.1,19.5,9.8,12.2,1.6,2.3,15.7,80.4,742,0.9,5.8,9.1,43.3,40.8,65,60.2,11.6,9.1,19.1,22.1,58.4,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2023Q4,2023,4,12,0,51388,11822.8,100,100,13618.2,1774,45.9,74.3,11.9,7.1,3.7,2.8,0.2,4.1,22,35.5,19.2,9.8,13.5,1.7,2.3,15.4,80.6,740,1.1,6.2,9.2,43.1,40.4,67,59.2,11.8,9.9,19.1,22.3,58.2,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2024Q1,2024,1,3,0,51436,11865.8,100,100,13729.7,1797,45.5,75,11.4,6.8,3.7,2.9,0.2,4.1,21.8,35,19.1,9.7,14.4,1.8,2.3,15.2,80.8,742,1,6.1,8.9,41.9,42.1,68,58.4,12.3,10.2,19.1,22.4,58.1,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2024Q2,2024,2,6,0,51594,11974.7,100,100,13902,1817,45.3,75.4,10.8,6.6,3.8,3.1,0.2,4.2,21.4,34.3,18.9,9.7,15.7,1.9,2.3,14.8,81,742,1.1,6.2,8.9,41.8,42.1,70,56.3,14.4,10.3,19,22.5,58,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2024Q3,2024,3,9,0,51716,12072.5,100,100,14060.2,1838,45.1,75.7,10.3,6.5,4,3.2,0.2,4.2,21.1,33.6,18.8,9.8,16.8,1.9,2.3,14.5,81.3,742,1.1,6.4,8.8,40.9,42.7,71,52.9,17.6,10.5,19,22.6,57.9,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2024Q4,2024,4,12,0,51735,12147.8,100,100,14191.1,1864,44.9,76,9.8,6.5,4.2,3.3,0.2,4.3,20.8,33,18.5,10,17.8,1.8,2.3,14.2,81.7,741,1.2,6.6,9,41.3,42,72,48.5,21.8,10.7,19,22.8,57.8,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2025Q1,2025,1,3,0,51722,12185.5,100,100,14292.1,1907,44.6,76.5,9.3,6.4,4.4,3.2,0.2,4.3,20.5,32.4,18.2,10,18.9,1.8,2.3,14,82,742,1.3,6.7,8.7,39.7,43.6,74,44,26.3,10.7,19.1,22.9,57.6,19.5
NMDB,Quarterly,National,USA,United States,All Mortgages,2025Q2,2025,2,6,0,51399,12121.9,100,100,14280.2,1953,44.2,77.1,9,6.3,4.5,3,0.2,4.3,20.4,32.1,17.9,9.9,19.7,1.8,2.3,13.8,82.2,742,1.3,6.8,8.7,39.8,43.4,76,39.1,31,10.4,19.5,23,57.4,19.6
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2013Q1,2013,1,3,0,28587,4552,100,100,5092,1237,66.2,38.9,13.5,19.3,11.1,7.6,9.5,5,2.8,20.1,29.9,24.7,22.6,1.6,3.7,25.5,69.2,740,1,5.9,9.2,43.5,40.3,55,56.7,15,19.6,8.7,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2013Q2,2013,2,6,0,28558,4570.6,100,100,5106.9,1228,65.6,39.3,14.1,19.6,10.9,7.4,8.7,4.9,3.5,23.1,29.7,22.9,20.9,1.6,3.5,25.7,69.1,740,0.9,5.6,9.2,44.5,39.7,54,57.5,15.1,16.8,10.5,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2013Q3,2013,3,9,0,28367,4549.5,100,100,5088.2,1249,64.7,40,14.8,19.5,10.7,7.1,7.9,4.8,3.6,24.1,31,21.8,19.5,1.6,3.4,25.9,69.1,740,0.8,5.5,9.3,44.7,39.7,54,58.1,15.3,13.4,13.2,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2013Q4,2013,4,12,0,28274,4539,100,100,5093,1267,63.6,41.1,15.8,19,10.5,6.7,7,4.8,3.6,24.5,32.2,21.3,18.4,1.6,3.3,25.9,69.3,740,0.8,5.4,9.4,45.1,39.3,54,58.6,15,12.4,13.9,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2014Q1,2014,1,3,0,28165,4516.7,100,100,5091.1,1279,62.4,42.7,16.6,18.2,10.2,6.1,6.1,4.8,3.6,24.7,33.1,20.9,17.7,1.6,3.2,25.8,69.4,743,0.8,5.2,9,43.9,41.1,55,58.7,15,12,14.3,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2014Q2,2014,2,6,0,28160,4524.8,100,100,5117.7,1275,61.3,44.3,17.1,17.6,10,5.7,5.3,4.8,3.5,24.9,34.4,20.3,16.8,1.6,3.1,25.6,69.6,743,0.7,4.9,9,44.6,40.8,56,59,14.6,11.3,15,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2014Q3,2014,3,9,0,28142,4529.3,100,100,5139.9,1277,60.3,46,17.2,17.2,9.7,5.3,4.6,4.7,3.5,25.1,35.7,19.6,16.1,1.6,3,25.4,69.9,744,0.7,4.8,8.9,44.4,41.2,57,58.8,15,11.1,15.2,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2014Q4,2014,4,12,0,28130,4534.1,100,100,5162.9,1281,59.4,47.5,17.2,16.9,9.4,4.9,4,4.7,3.5,25.4,36.8,18.9,15.4,1.6,3,25.3,70.1,743,0.7,4.7,9,44.9,40.7,58,57.2,16.7,10.7,15.3,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2015Q1,2015,1,3,0,28158,4546.9,100,100,5193.3,1281,58.6,48.9,17.2,16.8,9.1,4.6,3.5,4.7,3.5,26.6,36.9,18.1,14.8,1.5,3,25.2,70.3,746,0.6,4.5,8.6,43.4,42.9,59,56.6,17.5,10.5,15.4,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2015Q2,2015,2,6,0,28040,4540.2,100,100,5197.3,1280,58,49.9,17.1,16.7,8.9,4.4,3.1,4.6,3.6,27.8,37.3,17.3,14.1,1.4,2.9,25.1,70.5,747,0.6,4.3,8.4,44,42.7,59,57.3,17.2,10,15.5,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2015Q3,2015,3,9,0,27991,4550.8,100,100,5220.2,1292,57.5,50.8,17,16.5,8.8,4.2,2.7,4.6,3.5,28.1,38.4,16.5,13.5,1.4,2.8,25,70.8,747,0.6,4.2,8.4,44,42.8,59,57.5,17.8,8.8,15.8,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2015Q4,2015,4,12,0,27757,4528.2,100,100,5207.9,1314,57,51.8,17.1,16.2,8.6,4,2.4,4.6,3.5,28.7,39.2,15.7,12.7,1.3,2.7,24.9,71.1,747,0.6,4.1,8.5,44.5,42.3,60,56.7,19.8,7.8,15.7,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2016Q1,2016,1,3,0,27436,4492.1,100,100,5180.1,1323,56.3,52.8,17.2,15.9,8.4,3.6,2.1,4.5,3.6,29.7,39.8,14.9,12,1.3,2.6,24.8,71.3,749,0.5,3.9,8,43.6,43.9,60,55.9,21.1,7.5,15.4,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2016Q2,2016,2,6,0,27400,4510.6,100,100,5206.8,1315,55.9,53.6,17.2,15.6,8.1,3.5,1.9,4.5,3.7,31.2,39.6,14.2,11.4,1.2,2.6,24.6,71.7,750,0.5,3.7,7.9,44.2,43.7,60,54.7,22.2,8,15.1,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2016Q3,2016,3,9,0,27411,4547.4,100,100,5250,1310,55.5,54.3,17.1,15.5,7.9,3.5,1.6,4.4,4,33.3,38.5,13.4,10.8,1.1,2.5,24.5,72,750,0.5,3.7,7.9,44.3,43.6,60,52.8,24.1,8.3,14.7,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2016Q4,2016,4,12,0,27344,4561.3,100,100,5267,1321,55,55,17.1,15.4,7.7,3.3,1.4,4.4,4.3,35.1,37.7,12.7,10.2,1,2.4,24.4,72.2,749,0.5,3.7,7.9,45,42.8,60,50.5,26.8,8.2,14.4,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2017Q1,2017,1,3,0,27255,4562.2,100,100,5279,1350,54.5,56,17.1,15.1,7.5,3,1.3,4.4,4.3,35.2,38.6,12.2,9.7,1,2.3,24.2,72.5,751,0.5,3.6,7.5,43.6,44.7,61,47.9,29.7,8.2,14.2,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2017Q2,2017,2,6,0,27258,4593.8,100,100,5322.7,1350,54.1,56.8,17.1,14.8,7.3,3,1.1,4.4,4.2,35.1,39.8,11.8,9.2,0.9,2.2,23.9,73,752,0.5,3.4,7.4,44.1,44.6,61,45.6,32.5,7.9,14,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2017Q3,2017,3,9,0,27235,4623.1,100,100,5361.7,1357,53.8,57.4,17,14.6,7.1,2.9,0.9,4.3,4.1,35.2,40.7,11.2,8.7,0.9,2.1,23.5,73.5,752,0.5,3.4,7.4,44,44.7,61,44.5,33.6,8.2,13.7,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2017Q4,2017,4,12,0,27202,4647.4,100,100,5394.8,1367,53.4,58.2,16.9,14.4,6.8,2.9,0.8,4.3,4.1,35.5,41.5,10.6,8.3,0.9,2,23,74.1,751,0.5,3.4,7.5,44.9,43.7,61,45,32.4,9.3,13.2,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2018Q1,2018,1,3,0,27140,4660.1,100,100,5420.2,1386,53,59.2,16.8,14,6.6,2.6,0.7,4.3,4,35.4,42.4,10.3,8,0.9,1.9,22.5,74.7,753,0.4,3.3,7.2,43.7,45.5,62,45.6,31.5,10,12.9,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2018Q2,2018,2,6,0,27145,4696.6,100,100,5467.2,1389,52.7,59.9,16.6,13.8,6.4,2.7,0.6,4.3,3.9,34.6,43.3,10.5,7.6,0.8,1.9,21.9,75.5,753,0.4,3.2,7,44.2,45.2,62,46.3,31.2,10.1,12.4,0,100,0
NMDB,Quarterly,National,USA,United States,Enterprise Acquisitions,2018Q3,2018,3,9,0,27119,4724.4,100,100,5506.4,1404,52.4,60.6,16.4,13.5,6.3,2.7,0.5,4.3,3.8,33.9,44,11,7.3,0.8,1.8,21.2,76.2,753,0.4,3.2,7.1,43.9,45.4,62,46.5,31.1,10.6,11.8,0,100,0
